Log for:/Users/peak/polybox/Study/FHNW/FHNW/ipg/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2024-11-08T18:00:47Z
#=#=#=#=# Propagation starts 2024-11-08T18:00:57Z (last step: 10133 msec , total: 10133 msec) 
2024-11-08T18:01:41+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Videos/cat-beispiel.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1569147773 | 5ce2cd65942f9480caeb2abf878b13c7 | 51887 | 7906342261oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 8edc8863-85f7-4fa8-9f2d-2a123c5a3832 | 
2024-11-08T18:01:41+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Videos/less-beispiel.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1569150048 | 1ade1c0449d3016de40d5245e12d0dfb | 280042 | 7906342236oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | d670eacc-204e-4943-b41f-1ed77edd8ef1 | 
2024-11-08T18:01:39+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Videos/apt-update-upgrade.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1568990724 | f2a6c5024e184e98b11bc5baa189c8af | 4262271 | 7906342186oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 48bffd6e-463e-4ff8-9ad0-81b75d781d20 | 
 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Videos | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1726819334 | 66ed2c06454c0 | 0 | 7906341571oc641cdd42e0 | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
2024-11-08T18:01:42+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/01 - IPG - Virtualisierung-Einführung-5.1.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1693482941 | 8f2d62bfacaa09dc96ac0272bcad1047 | 5395796 | 7906341741oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 891fe9c4-384f-4c77-98dd-bbd9cbf408f2 | 
2024-11-08T18:01:00+00:00 | Lektionen/01. Einführung/Videos/Erstmal aufschrauben.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1551188105 | 7693727796f530d8f4fde6e65865052c | 99953765 | 7872469776oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 800a2e30-f9aa-4314-801b-c7c2008c88ce | 
 | Lektionen/01. Einführung/Videos | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1725986029 | 66e074ed9d8be | 0 | 7872459936oc641cdd42e0 | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | Lektionen/01. Einführung | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1726057388 | 66e18bac22acf | 0 | 7872354316oc641cdd42e0 | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
2024-11-08T18:01:45+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/02 - IPG - VirtualBox-Basics-5.0.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1677154508 | 0681d7e2d9f28d8617a0d61faead561c | 2116667 | 7906342466oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 335bbfb1-7841-464e-93fc-7c7ce3bb3c61 | 
2024-11-08T18:01:42+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/01 - IPG - Virtualisierung-Einführung-5.1.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1693483565 | 9fb8a49c6e698caaa54332cc6833b5d4 | 24823282 | 7906343711oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | be79c9d7-fa2e-4c79-a2a7-7ba9c349ed91 | 
